length,src_port,dst_port,flags,src_ip,dst_ip,protocol,Label
144,50574.0,5222.0,3,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
146,5222.0,50574.0,3,0,0,0,1
74,50574.0,5222.0,1,0,0,0,1
55,50567.0,443.0,1,1,3,2,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
66,443.0,50567.0,1,3,1,2,1
75,50630.0,443.0,1,0,0,0,1
86,443.0,50630.0,1,0,0,0,1
80,0.0,0.0,0,1,2,1,1
80,0.0,0.0,0,1,2,1,1
192,0.0,0.0,0,2,1,1,1
216,0.0,0.0,0,2,1,1,1
86,50707.0,443.0,5,0,0,0,1
86,443.0,50707.0,6,0,0,0,1
74,50707.0,443.0,1,0,0,0,1
368,50707.0,443.0,3,0,0,0,1
74,443.0,50707.0,1,0,0,0,1
1374,443.0,50707.0,1,0,0,0,1
1374,443.0,50707.0,3,0,0,0,1
1340,443.0,50707.0,3,0,0,0,1
74,50707.0,443.0,1,0,0,0,1
154,50707.0,443.0,3,0,0,0,1
154,50707.0,443.0,3,0,0,0,1
188,50707.0,443.0,3,0,0,0,1
74,443.0,50707.0,1,0,0,0,1
361,443.0,50707.0,3,0,0,0,1
361,443.0,50707.0,3,0,0,0,1
74,50707.0,443.0,1,0,0,0,1
135,443.0,50707.0,3,0,0,0,1
105,443.0,50707.0,3,0,0,0,1
74,50707.0,443.0,1,0,0,0,1
105,50707.0,443.0,3,0,0,0,1
219,443.0,50707.0,3,0,0,0,1
105,443.0,50707.0,3,0,0,0,1
74,50707.0,443.0,1,0,0,0,1
74,50707.0,443.0,2,0,0,0,1
98,443.0,50707.0,3,0,0,0,1
74,443.0,50707.0,2,0,0,0,1
74,50707.0,443.0,4,0,0,0,1
42,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
75,50700.0,443.0,1,0,0,0,1
86,443.0,50700.0,1,0,0,0,1
55,50567.0,443.0,1,1,3,2,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
66,443.0,50567.0,1,3,1,2,1
145,50574.0,5222.0,3,0,0,0,1
180,50574.0,5222.0,3,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
216,0.0,0.0,0,1,4,1,1
217,0.0,0.0,0,1,4,1,1
75,50704.0,443.0,1,0,0,0,1
216,0.0,0.0,0,1,4,1,1
217,0.0,0.0,0,1,4,1,1
86,443.0,50704.0,1,0,0,0,1
216,0.0,0.0,0,1,4,1,1
217,0.0,0.0,0,1,4,1,1
216,0.0,0.0,0,1,4,1,1
217,0.0,0.0,0,1,4,1,1
75,50626.0,443.0,1,0,0,0,1
86,443.0,50626.0,1,0,0,0,1
354,5222.0,50574.0,3,0,0,0,1
74,50574.0,5222.0,1,0,0,0,1
146,50574.0,5222.0,3,0,0,0,1
142,0.0,0.0,0,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
55,50567.0,443.0,1,1,3,2,1
66,443.0,50567.0,1,3,1,2,1
86,0.0,0.0,0,0,0,0,1
86,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
144,50574.0,5222.0,3,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
146,5222.0,50574.0,3,0,0,0,1
74,50574.0,5222.0,1,0,0,0,1
55,50567.0,443.0,1,1,3,2,1
145,50574.0,5222.0,3,0,0,0,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
74,5222.0,50574.0,1,0,0,0,1
75,50593.0,5228.0,1,0,0,0,1
75,50592.0,5228.0,1,0,0,0,1
66,443.0,50567.0,1,3,1,2,1
86,5228.0,50593.0,1,0,0,0,1
86,5228.0,50592.0,1,0,0,0,1
74,0.0,0.0,0,1,2,1,1
74,0.0,0.0,0,1,2,1,1
74,0.0,0.0,0,1,2,1,1
102,0.0,0.0,0,2,1,1,1
90,0.0,0.0,0,2,1,1,1
99,0.0,0.0,0,2,1,1,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
139,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
995,0.0,0.0,0,0,0,0,1
359,0.0,0.0,0,0,0,0,1
94,0.0,0.0,0,0,0,0,1
86,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
94,0.0,0.0,0,0,0,0,1
182,0.0,0.0,0,0,0,0,1
94,0.0,0.0,0,0,0,0,1
55,50567.0,443.0,1,1,3,2,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
66,443.0,50567.0,1,3,1,2,1
74,0.0,0.0,0,1,2,1,1
74,0.0,0.0,0,1,2,1,1
74,0.0,0.0,0,1,2,1,1
159,50630.0,443.0,3,0,0,0,1
113,50630.0,443.0,3,0,0,0,1
1347,50630.0,443.0,3,0,0,0,1
106,0.0,0.0,0,2,1,1,1
102,0.0,0.0,0,2,1,1,1
116,0.0,0.0,0,2,1,1,1
74,443.0,50630.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
113,443.0,50630.0,3,0,0,0,1
74,50630.0,443.0,1,0,0,0,1
671,443.0,50630.0,3,0,0,0,1
121,443.0,50630.0,3,0,0,0,1
105,443.0,50630.0,3,0,0,0,1
74,50630.0,443.0,1,0,0,0,1
109,50630.0,443.0,3,0,0,0,1
80,0.0,0.0,0,1,2,1,1
80,0.0,0.0,0,1,2,1,1
80,0.0,0.0,0,1,2,1,1
167,0.0,0.0,0,2,1,1,1
138,0.0,0.0,0,2,1,1,1
126,0.0,0.0,0,2,1,1,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
144,0.0,0.0,0,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
1292,0.0,0.0,0,0,0,0,1
994,0.0,0.0,0,0,0,0,1
360,0.0,0.0,0,0,0,0,1
107,0.0,0.0,0,0,0,0,1
86,0.0,0.0,0,0,0,0,1
171,0.0,0.0,0,0,0,0,1
637,0.0,0.0,0,0,0,0,1
705,0.0,0.0,0,0,0,0,1
183,0.0,0.0,0,0,0,0,1
93,0.0,0.0,0,0,0,0,1
94,0.0,0.0,0,0,0,0,1
938,0.0,0.0,0,0,0,0,1
83,0.0,0.0,0,0,0,0,1
97,0.0,0.0,0,0,0,0,1
87,0.0,0.0,0,0,0,0,1
87,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
159,50630.0,443.0,3,0,0,0,1
1374,50630.0,443.0,1,0,0,0,1
862,50630.0,443.0,3,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
585,443.0,50630.0,3,0,0,0,1
121,443.0,50630.0,3,0,0,0,1
105,443.0,50630.0,3,0,0,0,1
74,50630.0,443.0,1,0,0,0,1
144,50574.0,5222.0,3,0,0,0,1
74,5222.0,50574.0,1,0,0,0,1
146,5222.0,50574.0,3,0,0,0,1
74,50574.0,5222.0,1,0,0,0,1
54,443.0,50567.0,1,3,1,2,1
54,50567.0,443.0,1,1,3,2,1
55,50567.0,443.0,1,1,3,2,1
66,443.0,50567.0,1,3,1,2,1
75,50700.0,443.0,1,0,0,0,1
86,443.0,50700.0,1,0,0,0,1
86,0.0,0.0,0,0,0,0,1
86,0.0,0.0,0,0,0,0,1
71,0.0,0.0,0,1,2,1,1
71,0.0,0.0,0,1,2,1,1
71,0.0,0.0,0,1,2,1,1
1374,50626.0,443.0,1,0,0,0,1
1374,50626.0,443.0,1,0,0,0,1
1374,50626.0,443.0,1,0,0,0,1
1374,50626.0,443.0,1,0,0,0,1
453,50626.0,443.0,3,0,0,0,1
